,DGDP,PI,FFR
1987q3,3.45706,3.97053,6.84333
1987q4,6.78285,4.04187,6.91667
1988q1,2.06492,4.14707,6.66333
1988q2,5.10561,4.77654,7.15667
1988q3,2.05977,4.59573,7.98333
1988q4,5.30526,4.23284,8.47
1989q1,3.73733,4.60033,9.44333
1989q2,2.9812,3.5035,9.72667
1989q3,3.16103,2.75462,9.08333
1989q4,0.87197,3.66996,8.61333
1990q1,4.15721,4.89549,8.25
1990q2,1.58635,5.23899,8.24333
1990q3,-0.00496,4.05939,8.16
1990q4,-3.51938,3.3805,7.74333
1991q1,-1.9424,4.06532,6.42667
1991q2,2.68774,3.33435,5.86333
1991q3,1.68066,3.96488,5.64333
1991q4,1.56459,3.45166,4.81667
1992q1,4.36818,3.77359,4.02333
1992q2,4.22882,2.94422,3.77
1992q3,4.10775,2.44896,3.25667
1992q4,4.18482,2.52017,3.03667
1993q1,0.73593,2.20731,3.04
1993q2,2.54864,2.53571,3
1993q3,2.10137,1.83773,3.06
1993q4,5.2496,1.88884,2.99
1994q1,3.873,1.98359,3.21333
1994q2,5.43501,2.56748,3.94
1994q3,2.56879,2.68749,4.48667
1994q4,4.41831,2.05956,5.16667
1995q1,0.98067,2.32848,5.81
1995q2,0.85888,2.37247,6.02
1995q3,3.34704,1.96319,5.79667
1995q4,2.77958,1.96782,5.72
1996q1,2.73012,1.70804,5.36333
1996q2,6.85757,1.81359,5.24333
1996q3,3.46319,1.96913,5.30667
1996q4,4.34354,2.32698,5.28
1997q1,3.06149,1.91575,5.27667
1997q2,5.89049,2.15524,5.52333
1997q3,4.98834,1.02049,5.53333
1997q4,3.05694,1.48471,5.50667
1998q1,3.75892,1.3516,5.52
1998q2,3.5827,1.46969,5.5
1998q3,5.24295,1.53671,5.53333
1998q4,6.86508,1.48125,4.86
1999q1,3.54736,1.54314,4.73333
1999q2,3.11204,1.38958,4.74667
1999q3,5.05589,1.34463,5.09333
1999q4,7.12296,1.61116,5.30667
2000q1,1.04093,2.44438,5.67667
2000q2,7.73066,1.22981,6.27333
2000q3,0.33383,1.62951,6.52
2000q4,2.35728,1.92401,6.47333
2001q1,-1.31851,2.41375,5.59333
2001q2,2.61509,1.53632,4.32667
2001q3,-1.09901,0.90173,3.49667
2001q4,1.40844,2.02042,2.13333
2002q1,3.42289,1.36552,1.73333
2002q2,2.11673,2.35619,1.75
2002q3,1.99177,2.06355,1.74
2002q4,0.08278,1.4007,1.44333
2003q1,1.61758,0.95909,1.25
2003q2,3.17819,1.53062,1.24667
2003q3,6.65043,1.73737,1.01667
2003q4,3.57993,1.63856,0.99667
2004q1,2.80675,2.3917,1.00333
2004q2,2.83305,2.61118,1.01333
2004q3,2.92693,1.98702,1.44
2004q4,3.4572,1.82702,1.94667
2005q1,3.97046,2.83988,2.47333
2005q2,1.70053,2.16687,2.94
2005q3,3.02961,1.61649,3.46
2005q4,2.06041,2.62286,3.97333
2006q1,5.21192,1.95493,4.45667
2006q2,1.44059,2.87932,4.9
2006q3,0.1049,2.23952,5.25
2006q4,2.91395,2.03709,5.24667
2007q1,1.19875,2.73603,5.25667
2007q2,3.16609,1.75233,5.25
2007q3,3.53177,2.24069,5.07333
2007q4,2.09941,3.07668,4.49667
2008q1,-0.72651,2.33534,3.17667
2008q2,1.44574,2.41153,2.08667
2008q3,-2.71356,2.51972,1.94
2008q4,-5.52254,0.79437,0.50667
2009q1,-6.64449,1.13683,0.18333
2009q2,-0.74031,1.98815,0.18
2009q3,2.74374,1.30408,0.15667
